ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,DialectGroup,Language,Location,Town,Speaker,SubGroup
TaungthaWethet-T-1,Taungtha (Wethet),,,rtc,,,,Sino-Tibetan,,S-Matu/Rawngtu,Htilin,Wethet,T-1,Taungtha
TaungthaThanpuya-T-2,Taungtha (Thanpuya),,,rtc,,,,Sino-Tibetan,,S-Matu/Rawngtu,Htilin,Thanpuya,T-2,Taungtha
TaungthaKyarOoYin-T-3,Taungtha (Kyar Oo Yin),,,rtc,,,,Sino-Tibetan,,S-Matu/Rawngtu,Htilin,Kyar Oo Yin,T-3,Taungtha
TaungthaYeShin-T-4,Taungtha (Ye Shin),,,rtc,,,,Sino-Tibetan,,S-Matu/Rawngtu,Saw,Ye Shin,T-4,Taungtha
MaraNgaphaipi-T-6,Mara (Ngaphaipi),mara1382,,mrh,,,,Sino-Tibetan,,Mara,Thantlang,Ngaphaipi,T-6,Taungtha
MaraLailenpi-T-5,Mara (Lailenpi),mara1382,,mrh,,,,Sino-Tibetan,,Mara,Matupi,Lailenpi,T-5,Taungtha
ThaiphumRengkheng-T-7,Thaiphum (Rengkheng),,,cth,,,,Sino-Tibetan,,S-Khumi,Matupi,Rengkheng,T-7,Taungtha
BawmBahungTaung-T-8,Bawm (Bahung Taung),bawm1236,,bgr,,,,Sino-Tibetan,,Central,Paletwa,Bahung Taung,T-8,Taungtha
AshoKokanTan-A-1,Asho (Kokan Tan),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Ann,Kokan Tan,A-1,Asho
AshoPadekyawt-A-2,Asho (Padekyawt),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Ann,Padekyawt,A-2,Asho
AshoPadar-A-3,Asho (Padar),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Ma-I,Padar,A-3,Asho
AshoSalu-A-4,Asho (Salu),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Taunggup,Salu,A-4,Asho
AshoTarye-A-5,Asho (Tarye),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Taunggup,Tarye,A-5,Asho
AshoKankawTaung-A-6,Asho (Kankaw Taung),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Kyeintali,Kankaw Taung,A-6,Asho
AshoJatetaw-A-7,Asho (Jatetaw),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Thandwe,Jatetaw,A-7,Asho
AshoShinsawPyin-A-8,Asho (Shinsaw Pyin),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Thandwe,Shinsaw Pyin,A-8,Asho
AshoKhamaungShaeTaing-A-9,Asho (Khamaung Shae Taing),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Ranbye,Khamaung Shae Taing,A-9,Asho
AshoSaryeKwin-A-10,Asho (Sarye Kwin),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Padaung,Sarye Kwin,A-10,Asho
AshoLinde-A-11,Asho (Linde),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Nga Phay,Linde,A-11,Asho
AshoTayPhyu-A-13,Asho (Tay Phyu),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,TaungDwin Kyi,Tay Phyu,A-13,Asho
TaungthaMie-U-1,Taungtha (Mi-e),,,rtc,,,,Sino-Tibetan,,S-Matu/Rawngtu,Kyauk Htu,Mi-e,U-1,Uppu
UppuBuddhagarma-U-2,Uppu (Buddhagarma),chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Paletwa,Buddhagarma,U-2,Uppu
UppuKhaingzi-U-3,Uppu (Khaingzi),chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Minbya,Khaingzi,U-3,Uppu
UppuChinLetmon-U-4,Uppu (Chin Letmon),chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Kanpetlet,Chin Letmon,U-4,Uppu
UppuKyinDwe-U-5,Uppu (Kyin Dwe),chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Kanpetlet,Kyin Dwe,U-5,Uppu
UppuYan-U-6,Uppu (Yan),chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Laung Shae,Yan,U-6,Uppu
UppuNatkyi-U-7,Uppu (Natkyi),chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Seddutaya,Natkyi,U-7,Uppu
MayinnOwnwa-U-9,Mayinn (Ownwa),chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Seddutaya,Ownwa,U-9,Uppu
LonpawKhoimalaung-U-9,Lonpaw (Khoimalaung),chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Seddutaya,Khoimalaung,U-9,Uppu
MinkyaChi-U-10,Minkya (Chi),chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Seddutaya,Chi,U-10,Uppu
DoituHetsawlay-U-11,Doitu (Hetsawlay),,,csj,,,,Sino-Tibetan,,S-Asho,Minbya,Hetsawlay,U-11,Uppu
LaituKhuasung-U-12,Laitu (Khuasung),,,clj,,,,Sino-Tibetan,,S-Asho,Minbya,Khuasung,U-12,Uppu
LaituZaingchaung-U-13,Laitu (Zaingchaung),,,clj,,,,Sino-Tibetan,,S-Asho,Minbya,Zaingchaung,U-13,Uppu
LaituKruChaung-U-14,Laitu (Kʰruŋ Chaung),,,clj,,,,Sino-Tibetan,,S-Asho,Minbya,Kʰruŋ Chaung,U-14,Uppu
EkaiDaletYwaHaung-D-1,Ekai Dalet Ywa Haung,sumt1234,,csv,,,,Sino-Tibetan,,S-Asho,Ann,Dalet Ywa Haung,D-1,Dalet
KhulaiAyeChaungKwanwa-D-5,Khulai Aye Chaung Kwanwa,sumt1234,,csv,,,,Sino-Tibetan,,S-Asho,Ann,Aye Chaung Kwanwa,D-5,Dalet
DaituNyaungChaungYwa-D-4,Daitu Nyaung Chaung Ywa,sumt1234,,csv,,,,Sino-Tibetan,,S-Asho,Ann,Nyaung Chaung Ywa,D-4,Dalet
KhamawLakeKone-D-2,Khamaw Lake Kone,asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Ann,Lake Kone,D-2,Dalet
SaingbongAyoTaung-D-3,Saingbong Ayo Taung,asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Ann,Ayo Taung,D-3,Dalet
SaingbongAnnChaungYonChaung-A,Saingbong (Ann Chaung) Yon Chaung,asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Ann,Yon Chaung,??,Dalet
UppuCintwe-A,Uppu Cintwe,chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Kanpetlet,Cintwe,,SChn
UppuSaw-A,Uppu Saw,chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Saw,Saw,,SChn
UppuKhaici-A,Uppu Khaici,chin1478,,cnb,,,,Sino-Tibetan,,S-Asho,Minbya,Khaici,,
AshoAungLan-A,Asho Aung Lan,asho1236,,csh,,,,Sino-Tibetan,,S-Asho,Aung Lan,Aung Lan,,Yangon
LaisawThuHtayKung-A,Laisaw Thu Htay Kung,,,clj,,,,Sino-Tibetan,,S-Asho,Minnpya,Thu Htay Kung,,Mro-Khimi
LaisawMraukUTown-A,Laisaw Mrauk U Town,,,clj,,,,Sino-Tibetan,,S-Asho,Mrauk U,Mrauk U Town,,Mro-Khimi
HyowKongtuBoroKukyachariinRajasthali-A,Hyow-Kongtu Boro Kukyachari (in Rajasthali),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,,Boro Kukyachari (in Rajasthali),,Bangladesh
HyowLaituGhungurumukParainBandarban-A,Hyow-Laitu Ghungurumukʰ Para (in Bandarban),asho1236,,csh,,,,Sino-Tibetan,,S-Asho,,Ghungurumukʰ Para (in Bandarban),,Bangladesh
