ID,Name,Concepticon_ID,Concepticon_Gloss,AlternativeName
98_cat,cat,1208,CAT,
99_pig,pig,1337,PIG,
100_cow,cow,1007,COW,
101_milk,milk,93,DRAW MILK,
102_buffalo,buffalo,934,BUFFALO,
103_hornbuffalo,horn (buffalo),1393,HORN (ANATOMY),
104_tail,tail,1220,TAIL,
105_elephant,elephant,1290,ELEPHANT,
106_elephanttask,elephant task,2495,ELEPHANT TUSK,
107_bird,bird,937,BIRD,
108_pigeon,pigeon,1853,DOVE,
109_birdsnest,birdʼs nest,539,NEST,
110_wing,wing,1257,WING,
111_feather,feather,1201,FEATHER,
112_tofly,to fly,1441,FLY (MOVE THROUGH AIR),
113_egg,egg,744,EGG,
114_chicken,chicken,2512,CHICK,
115_crest,crest,,,
116_fish,fish,227,FISH,
117_snake,snake,730,SNAKE,
118_poison,poison,655,POISON,
119_houselizard,house lizard,632,LIZARD,
120_turtle,turtle,112,TURTLE,
121_crocodile,crocodile,1857,CROCODILE,
122_otter,otter,15,OTTER,
123_frog,frog,503,FROG,
124_insect,insect,620,INSECT,
125_spider,spider,843,SPIDER,
126_spiderweb,spider web,1065,SPIDER WEB,
127_lousehead,louse (head),310,HEAD LOUSE,
128_termite,termite,883,TERMITE,
129_ant,ant,587,ANT,
130_cocroach,cocroach,1575,COCKROACH,
131_snail,snail,1543,SNAIL,
132_mosquito,mosquito,1509,MOSQUITO,
133_bee,bee,665,BEE,
134_fly,fly,1504,FLY (INSECT),
135_butterfly,butterfly,1791,BUTTERFLY,
136_scorpion,scorpion,1538,SCORPION,
137_waterleech,water leech,949,WATER LEECH,
138_landleech,land leech,2273,LEECH,
139_earthworm,earth worm,2350,EARTHWORM,
140_head,head,1256,HEAD,
141_face,face,1560,FACE,
142_brain,brain,1583,BRAIN,
143_hairhead,hair (head),2648,HAIR (HEAD),
144_hairbody,hair (body),189,HAIR (BODY),
145_forehead,forehead,123,FOREHEAD,
146_eyebrow,eyebrow,1173,EYEBROW,
147_eye,eye,1248,EYE,
148_eyelid,eyelid,17,EYELID,
149_nose,nose,1221,NOSE,
150_cheek,cheek,1730,CHEEK,
151_ear,ear,1247,EAR,
152_mouth,mouth,674,MOUTH,
153_tongue,tongue,1205,TONGUE,
154_spitn,spit (N),1503,SALIVA,
155_tooth,tooth,1380,TOOTH,
156_gus,guᵐs,139,GUMS,
157_chin,chin,1510,CHIN,
158_beard,beard,678,BEARD,
159_toshave,to shave,231,SHAVE,
160_neck,neck,1333,NECK,
161_shoulder,shoulder,1482,SHOULDER,
162_back,back,1291,BACK,
163_belly,belly,1251,BELLY,
164_navel,navel,1838,NAVEL,
165_heart,heart,1223,HEART,
166_liver,liver,1224,LIVER,
167_intestines,intestines,1991,INTESTINES,
168_arm,arm,1673,ARM,
169_elbow,elbow,981,ELBOW,
170_arpit,arᵐpit,1886,ARMPIT,
171_palm,palm,1183,PALM OF HAND,
172_finger,finger,1303,FINGER,
173_fingernail,finger nail,1258,FINGERNAIL,
174_leg,leg,1297,LEG,
175_thigh,thigh,800,THIGH,
176_knee,knee,1371,KNEE,
177_calf,calf,498,CALF OF LEG,
178_shin,shin,186,SHIN,
179_heel,heel,980,HEEL,
180_bone,bone,1394,BONE,
181_joint,joint,999,JOINT,
182_marrow,marrow,1835,MARROW,
183_rib,rib,801,RIB,
184_meatflesh,"meat, flesh",2615,FLESH OR MEAT,
185_fat,fat,323,FAT (ORGANIC SUBSTANCE),
186_skin,skin,763,SKIN,
187_blood,blood,946,BLOOD,
188_sweat,sweat,125,SWEAT (SUBSTANCE),
189_pus,pus,1808,PUS,
190_excrement,excrement,675,FAECES (EXCREMENT),
191_urine,urine,1142,URINE,
192_man,man,1554,MAN,
193_woman,woman,962,WOMAN,
194_person,person,683,PERSON,
195_father,father,1217,FATHER,
196_mother,mother,1216,MOTHER,
197_tobeoldperson,to be old (person),1229,OLD,
198_child,child,1304,CHILD (YOUNG HUMAN),
199_son,son,1620,SON,
200_soninlaw,son-in-law,1056,SON-IN-LAW,
201_husbanc,husbanc,1200,HUSBAND,
202_wife,wife,1199,WIFE,
203_widow,widow,1756,WIDOW,
204_elderbrotheroffemale,elder brother (of female),2415,OLDER BROTHER (OF WOMAN),
205_elderbrotherofmale,elder brother (of male),2414,OLDER BROTHER (OF MAN),
206_eldersisteroffemale,elder sister (of female),2419,OLDER SISTER (OF WOMAN),
207_eldersisterofmale,elder sister (of male),2418,OLDER SISTER (OF MAN),
208_youngerbrotheroffemale,younger brother (of female),2417,YOUNGER BROTHER (OF WOMAN),
209_youngerbrotherofmale,younger brother (of male),2416,YOUNGER BROTHER (OF MAN),
210_youngersisteroffemale,younger sister (of female),2421,YOUNGER SISTER (OF WOMAN),
211_youngersisterofmale,younger sister (of male),2420,YOUNGER SISTER (OF MAN),
212_friend,friend,1325,FRIEND,
213_name,name,1405,NAME,
214_village,village,930,VILLAGE,
215_road,road,667,ROAD,
216_boat,boat,1844,BOAT,
217_house,house,1252,HOUSE,
218_door,door,1567,DOOR,
219_roof,roof,769,ROOF,
220_areaunderhouse,area under house,2632,AREA UNDER HOUSE,
221_wallhouse,wall (house),933,WALL (OF HOUSE),
222_sleepingarea,sleeping area,2505,BEDROOM,
223_mat,mat,195,MAT,
224_pillow,pillow,1044,PILLOW,
225_blanket,blanket,806,BLANKET,
226_clothing,clothing,1895,CLOTHES,
227_toweave,to weave,133,WEAVE,
228_todye,to dye,157,DYE,
229_sarongm,sarong (M),2413,SARONG,
230_sarongf,sarong (F),2413,SARONG,
231_trousers,trousers,809,TROUSERS,
232_tosew,to sew,1457,SEW,
233_needle,needle,1382,NEEDLE (FOR SEWING),
234_comb,comb,1475,COMB,
235_ring,ring,1374,RING,
236_potcooking,pot (cooking),1462,POT,
237_mortar,mortar,224,MORTAR,
238_pestle,pestle,225,PESTLE,
239_spoon,spoon,1378,SPOON,
240_plate,plate,480,PLATE,
241_firewood,firewood,10,FIREWOOD,
242_fire,fire,221,FIRE,
243_toburnsomething,to burn something,141,BURN (SOMETHING),
244_toextinguish,to extinguish,127,EXTINGUISH,
245_ashes,ashes,646,ASH,
246_smoke,smoke,778,SMOKE (EXHAUST),
247_drum,drum,908,DRUM,
248_gongs,gongs,2502,GONG,
249_bow,bow,994,BOW,
250_crossbow,crossbow,3193,CROSSBOW,
251_arrow,arrow,977,ARROW,
252_spear,spear,945,SPEAR,
253_knife,knife,1352,KNIFE,
254_tohear,to hear,1408,HEAR,
255_tolisten,to listen,1608,LISTEN,
256_tobesmelly,to be smelly,42,STINKING,
257_tosmellsomething,to smell (something),1586,SMELL (PERCEIVE),
258_tosee,to see,1409,SEE,
259_tolookat,to look at,1819,LOOK,
260_toweep,to weep,1839,CRY,
261_toeat,to eat,1336,EAT,
262_toswallow,to swallow,897,SWALLOW,
263_tobehungry,to be hungry,1533,BE HUNGRY,
265_tobethirsty,to be thirsty,3474,BE THIRSTY,
266_todrink,to drink,1401,DRINK,
267_tobedrunk,to be drunk,1463,DRUNK,
268_tovomit,to vomit,1278,VOMIT,
269_tospit,to spit,1440,SPIT,
270_tocough,to cough,879,COUGH,
271_tosneeze,to sneeze,1621,SNEEZE,
272_toyarwn,to yarwn,1028,YAWN,
273_tobreathe,to breathe,1407,BREATHE,
274_toblow,to blow,176,BLOW (WITH MOUTH),
275_towhistle,to whistle,1025,WHISTLE,
276_tosuckmilk,to suck (milk),1421,SUCK,
277_tolick,to lick,319,LICK,
278_tosmile,to smile,1451,SMILE,
279_tolaugh,to laugh,1355,LAUGH,
280_tospeak,to speak,1623,SPEAK,
281_totellabout,to tell about,,,
282_toshout,to shout,715,SHOUT,
283_toliefib,"to lie, fib",601,LIE (MISLEAD),
284_tosing,to sing,1261,SING,
285_tothink,to think,2271,THINK,
286_toknow,to know,1410,KNOW (SOMETHING),
287_toforget,to forget,1523,FORGET,
288_tochoose,to choose,1750,CHOOSE,
289_tolove,to love,923,LOVE,
290_tohate,to hate,1607,HATE,
291_tobeashamed,to be ashamed,1894,ASHAMED,
292_towait,to wait,1590,WAIT (FOR),
293_tocount,to count,1420,COUNT,
294_tobeafraid,to be afraid,1419,FEAR (BE AFRAID),
295_tobeangry,to be angry,2223,BE ANGRY,
296_tosleep,to sleep,1585,SLEEP,
297_tosnore,to snore,1983,SNORE,
298_todream,to dream,1920,DREAM (SOMETHING),
299_togetup,to get up,1512,RISE (ONESELF),
300_tobehurt,to be hurt,2561,HURT (SENSE PAIN),
301_medicine,medicine,1372,MEDICINE,
302_tobeitchy,to be itchy,3855,ITCH (CAUSE ITCHING OR FEEL ITCHY),
303_toscratchself,to scratch (self),1436,SCRATCH,
304_toshiver,to shiver,52,SHIVER,
305_todie,to die,1494,DIE,
306_gost,gost,1175,GHOST,
307_tosit,to sit,1416,SIT,
308_tostandstanding,to stand (standing),1442,STAND,
309_tokneel,to kneel,66,KNEEL,
310_towalk,to walk,1443,WALK,
311_tocrowl,to crowl,96,CRAWL,
312_togo,to go,695,GO,
313_tocome,to come,1446,COME,
314_toreturn,to return,581,COME BACK,
315_torun,to run,1519,RUN,
316_toascend,to ascend,705,GO UP (ASCEND),
317_todescend,to descend,2014,GO DOWN (DESCEND),
318_toenter,to enter,749,ENTER,
319_togoout,to go out,1107,GO OUT,
320_topush,to push,1452,PUSH,
321_topull,to pull,1455,PULL,
322_tokick,to kick,1135,KICK,
323_tothrow,to throw,1456,THROW,
324_tofall,to fall,1280,FALL,
325_toswim,to swim,1439,SWIM,
326_tofloat,to float,1574,FLOAT,
327_tosubmerge,to submerge,,,
328_toflow,to flow,2003,FLOW,
329_togive,to give,1447,GIVE,
330_totie,to tie,1094,FASTEN,
331_towipe,to wipe,1454,WIPE,
332_torubscrub,"to rub, scrub",1449,RUB,
333_towash,to wash,1453,WASH,
334_towashclothes,to wash (clothes),2503,LAUNDER (WASH CLOTHES),
335_tobathe,to bathe,138,BATHE,
336_tohitbeat,"to hit, beat",1433,HIT,
337_tosplit,to split,1437,SPLIT,
338_toslice,to slice,2156,CUT (WITH KNIFE),
339_tocuthair,to cut (hair),2155,CUT (WITH SCISSORS),
340_tostab,to stab,1434,STAB,
341_toplant,to plant,1486,PLANT (SOMETHING),
342_todig,to dig,1418,DIG,
343_tobury,to bury,1719,BURY,
344_towork,to work,1086,WORK (ACTIVITY),
345_toplay,to play,1413,PLAY,
346_todance,to dance,1879,DANCE,
347_toshoot,to shoot,1172,SHOOT,
348_tohunt,to hunt,1435,HUNT,
349_tokill,to kill,1417,KILL,
350_tofight,to fight,1423,FIGHT,
351_tobuy,to buy,1869,BUY,
352_tosell,to sell,1571,SELL,
353_toexchange,to exchange,2509,EXCHANGE,
354_topay,to pay,718,PAY,
355_tosteal,to steal,713,STEAL,
356_tohideself,to hide(self),2485,HIDE (ONESELF),
357_one,one,1493,ONE,
358_two,two,1498,TWO,
359_three,three,492,THREE,
360_four,four,1500,FOUR,
361_five,five,493,FIVE,
362_six,six,1703,SIX,
363_seven,seven,1704,SEVEN,
364_eight,eight,1705,EIGHT,
365_nine,nine,1483,NINE,
366_ten,ten,1515,TEN,
367_twenty,twenty,1710,TWENTY,
368_hundred,hundred,1634,HUNDRED,
369_onethousand,one thousand,1843,THOUSAND,
370_tobemany,to be many,1198,MANY,
371_all,all,98,ALL,
372_some,some,1241,SOME,
373_tobefew,to be few,1242,FEW,
374_half,half,816,HALF,
375_tobebig,to be big,1202,BIG,
376_tobesmall,to be small,1246,SMALL,
377_tobelong,to be long,1203,LONG,
379_tobetall,to be tall,711,TALL,
380_tobeshort,to be short,2191,LOW (HEIGHT),
381_tobethick,to be thick,1244,THICK,
382_tobethin,to be thin,2308,THIN,
383_tobefat,to be fat,1279,FAT (OBESE),
384_tobeskiny,to be skiny,1400,THIN (SLIM),
385_tobewide,to be wide,1243,WIDE,
386_tobenarrow,to be narrow,1267,NARROW,
387_tobedeep,to be deep,1593,DEEP,
388_tobeshallow,to be shallow,193,SHALLOW,
389_toberound,to be round,1395,ROUND,
390_tobefull,to be full,1429,FULL,
391_rightside,right side,1019,RIGHT,
392_leftside,left side,244,LEFT,
393_tobestraight,to be straight,1404,STRAIGHT,
394_tobefar,to be far,1406,FAR,
395_tobenear,to be near,1942,NEAR,
396_this,this,1214,THIS,
397_that,that,78,THAT,
398_black,black,163,BLACK,
399_white,white,1335,WHITE,
400_red,red,156,RED,
401_green,green,1425,GREEN,
402_yellow,yellow,1424,YELLOW,
403_tobedirty,to be dirty,1230,DIRTY,
404_tobenew,to be new,1231,NEW,
405_tobeold,to be old,1229,OLD,
406_tobedark,to be dark,706,DARK,
407_toshine,to shine,708,SHINE,
408_tobethesame,to be the same,200,SAME,
409_tobesweet,to be sweet,717,SWEET,
410_tobesour,to be sour,1906,SOUR,
411_tobebitter,to be bitter,887,BITTER,
412_tobespicy,to be spicy,544,SPICY,
413_toberotten,to be rotten,1728,ROTTEN,
414_tobeswollen,to be swollen,1573,SWELL,
415_tobedry,to be dry,1398,DRY,
416_tobewet,to be wet,1726,WET,
417_tobesharp,to be sharp,1396,SHARP,
418_tobeblunt,to be blunt,379,BLUNT,
419_tobeheavy,to be heavy,1210,HEAVY,
420_tobelight,to be light,737,LIGHT (IGNITE),
421_tobehard,to be hard,1884,HARD,
422_tobesoft,to be soft,1856,SOFT,
423_tobesmooth,to be smooth,1234,SMOOTH,
424_toberough,to be rough,1923,ROUGH,
425_tobefast,to be fast,1631,FAST,
426_tobeslow,to be slow,701,SLOW,
427_tobestrong,to be strong,785,STRONG,
428_tobeweak,to be weak,1601,WEAK,
429_tobetired,to be tired,1757,TIRED,
430_tobeill,to be ill,1847,SICK,
431_tobeblind,to be blind,1653,BLIND,
432_tobedeaf,to be deaf,996,DEAF,
433_tobebald,to be bald,1125,BALD,
434_tobegood,to be good,1035,GOOD,
435_tobebad,to be bad,1292,BAD,
436_tobecorrect,to be correct,1725,CORRECT (RIGHT),
437_tobewrong,to be wrong,1390,WRONG,
438_whenpast,when (past),1238,WHEN,
439_whenfuture,when (future),1238,WHEN,
440_where,where,1237,WHERE,
441_who,who,1235,WHO,
442_what,what,1236,WHAT,
443_howmany,how many,822,HOW MANY,
444_i,I,1209,I,
445_yousg,you (sg),1215,THOU,
446_heshe,"he, she",2642,HE OR SHE,
447_wepl,we (pl),1212,WE,
448_youpl,you(pl),1213,YOU,
449_they,they,817,THEY,
450_totake,to take,1749,TAKE,
451_toputplace,"to put, place",998,PUT,
452_tobelost,to be lost,,,
453_tobend,to bend,2224,BEND (SOMETHING),
454_tolift,to lift,501,LIFT,
455_todomake,"to do, make",2575,DO OR MAKE,
456_dontdoit,don't do it,2660,DO NOT DO IT,
457_tobedifficult,to be difficult,584,DIFFICULT,
458_tobeeasy,to be easy,686,EASY,
459_tobeloose,to be loose,2506,LOOSE,
460_tobetight,to be tight,3053,TIGHT,
461_tosetfree,to set free,1095,LET GO OR SET FREE,
462_tosqueeze,to squeeze,1414,SQUEEZE,
