ID,Name,Concepticon_ID,Concepticon_Gloss,AlternativeName
1_sky,sky,1732,SKY,
2_sun,sun,1343,SUN,
3_moon,moon,1313,MOON,
4_star,star,1430,STAR,
5_cloud,cloud,1489,CLOUD,
6_mistfog,"mist, fog",249,FOG,
7_rain,rain,658,RAIN (PRECIPITATION),
8_rainbow,rainbow,1733,RAINBOW,
9_lightning,lightning,1654,LIGHTNING,
10_thunder,thunder,1150,THUNDER,
11_shadow,shadow,1388,SHADE,
12_wind,wind,960,WIND,
13_night,night,1233,NIGHT,
14_day,day,1225,DAY (NOT NIGHT),
15_morning,morning,1339,MORNING,
16_noon,noon,12,MIDDAY,
17_yesterday,yesterday,1174,YESTERDAY,
18_tomorrow,tomorrow,1329,TOMORROW,
19_year,year,1226,YEAR,
20_east,east,1877,EAST,
21_west,west,1817,WEST,
22_water,water,948,WATER,
23_tobehotwater,to be hot (water),1286,HOT,
24_tobehotperson,to be hot (person),3818,HOT (FEELING HOT),
25_tobewarmwater,to be warm(water),1232,WARM,
26_tobecoldperson,to be cold (person),3819,COLD (FEELING COLD),
27_tobecoldwater,to be cold (water),1287,COLD,
28_stream,stream,947,STREAM,
29_river,river,666,RIVER,
30_sea,sea,1474,SEA,
31_soilearth,soil (earth),1228,EARTH (SOIL),
32_mud,mud,640,MUD,
33_dust,dust,2,DUST,
34_stone,stone,857,STONE,
35_sand,sand,671,SAND,
36_lime,lime,2540,LIME (MATERIAL),
37_gold,gold,1369,GOLD,
38_silver,silver,759,SILVER,
39_iron,iron,621,IRON,
40_mountain,mountain,639,MOUNTAIN,
41_cave,cave,1155,CAVE,
42_forest,forest,420,FOREST,
43_tree,tree,906,TREE,
44_branch,branch,1531,BRANCH,
45_treebark,tree bark,1204,BARK,
46_thorn,thorn,124,THORN,
47_root,root,670,ROOT,
48_leaf,leaf,628,LEAF,
49_flower,flower,239,FLOWER,
50_fruit,fruit,1507,FRUIT,
51_seed,seed,714,SEED,
52_grass,grass,606,GRASS,
53_bambooshoot,bamboo shoot,2494,BAMBOO SHOOT,
54_mushroom,mushroom,641,MUSHROOM,
55_cane,cane/,,,
56_kapok,kapok,2499,KAPOK TREE,
57_sugercane,sugercane,146,SUGAR CANE,
58_betelnut,betel nut,217,BETELNUT,
59_opium,opium,2498,OPIUM,
60_bambooplant,bamboo plant,1927,BAMBOO,
61_ricemilletbeer,"rice, millet beer",,,
62_banana,banana,868,BANANA,
63_mango,mango,2398,MANGO,
64_eggplant,egg plant,1146,AUBERGINE,
65_soybean,soy bean,2027,SOYA,
66_ginger,ginger,2500,GINGER,
67_garlic,garlic,2368,GARLIC,
68_corn,corn,506,MAIZE,
69_redpepper,red pepper,919,CHILI PEPPER,
70_dryfield,dry field,2794,FIELD (UPLAND),
71_wetricefield,wet rice field,140,PADDY FIELD,
72_paddyrice,paddy rice,3390,WILD RICE,
73_riceseedling,rice seedling,3050,SEEDLING,
74_toberipe,to be ripe,178,RIPE,
75_poundedrice,pounded rice,926,RICE,
76_cookedrice,cooked rice,1191,COOKED RICE,
77_towinow,to winow,2462,WINNOWING,
78_todryrice,to dry (rice),1786,DRY UP,
79_topoundrice,to pound (rice),354,POUND,
80_togrind,to grind,1033,GRIND,
81_tocookrice,to cook (rice),1100,COOK (SOMETHING),
82_toboil,to boil,792,BOIL (OF LIQUID),
83_ricehusk,rice husk,2501,RICE HUSK,
84_salt,salt,1274,SALT,
85_animal,animal,619,ANIMAL,
86_tiger,tiger,846,TIGER,
87_pangolin,pangolin,2508,PANGOLIN,
88_bear,bear,1820,BEAR,
89_barkingdeer,barking deer,3152,MUNTJACS,
90_monkey,monkey,1350,MONKEY,
91_gibbon,gibbon,2511,GIBBON,
92_rabbit,rabbit,1136,RABBIT,
93_porcupine,porcupine,2510,PORCUPINE,
94_rat,rat,1490,RAT,
95_dog,dog,2009,DOG,
96_tobark,to bark,1206,BARKING,
97_tobite,to bite,1403,BITE,
