Grapheme	IPA
$	NULL
&	NULL
'$	NULL
'kʰ	kʰ
't	t
)	NULL
-	NULL
<<<<<<< HEAD
.	+
.$	NULL
..	+
._	+
=======
>>>>>>> cb2147f589f1f9d38bcd570de8c74d9770422dc5
0	+
=	NULL
?	ʔ
?$	ʔ
A	ɑ
I	ɪ
J	j
K	k
Kʰ	kʰ
M	m
P	p
Pʰ	pʰ
X	χ
^	NULL
^.	NULL
^0$	NULL
^=$	NULL
^?	ʔ
^J	j
^K	k
^Kʰ	kʰ
^X	x
^_	NULL
^a	a
^aː	aː
^aː$	aː
^b	b
^bw	b w
^bʲ	bʲ
^bʷ	b ʷ/w
^bᵊ	b ᵊ/ə
^d	d
^dw	d w
^dʒ	dʒ
^dʷ	d ʷ/w
^e	e
^e$	e
^ei	ei
^f	f
^g	g
^h	h
^hl	l̥
^hm	hm/m̥
^hn	hn/n̥
^hw	h w
^hŋ	hŋ/ŋ̊
^hʲ	hʲ
^hʷ	h ʷ/w
^h̥	h̥
^i	i
^i$	i
^iː	iː
^j	j
^jj	j + j
^jw	j w
^jʷ	j ʷ/w
^j̥	j̊
^k	k
^k$	k
^kh	kʰ
^kk	k + k
^kw	k ʷ/w
^kʰ	kʰ
^kʰw	kʰ w
^kʰx	kxʰ
^kʰʳ	kʰ ʳ/r
^kʰʷ	kʰ ʷ/w
^kʰɔhiu̯ŋ	kʰ ɔ + h iu ŋ
^hiu̯	h iu
^iu̯	iu
^iu̯ŋ	iu ŋ
^kʳ	k ʳ/r
^kʷ	k ʷ/w
^kˠ	k ˠ/ɣ
^kˡ	k ˡ/l
^kᵊ	k ᵊ/ə
^l	l
^lw	l w
^lʷ	l ʷ/w
^l̥	l̥
^l̥w	l̥ w
^l̥ʷ	l̥ ʷ/w
^m	m
^mm	m + m
^mw	m w
^mʲ	m ʲ/j
^mʷ	m ʷ/w
^mˡ	m ˡ/l
^m̥	m̥
^m̥ʲ	m̥ ʲ/j
^m̥ʷ	m̥ ʷ/w
^n	n
^n$	n
^nw	n w
^n̥	n̥
^n̥ʷ	n̥ ʷ/w
^n̯	n̯
^nᵑs	n ŋ̍ s
^o	o
^o$	o
^oo$	oː
^p	p
^p$	p
^ph	pʰ
^pp	p + p
^pw	p w
^pʰ	pʰ
^pʰpʰ	pʰ + pʰ
^pʰw	pʰ w
^pʰʲ	pʰ ʲ/j
^pʰʷ	pʰ ʷ/
^pʰˠ	pʰ ˠ/ɣ
^pʲ	p ʲ/j
^pʳ	p ʳ/r
^pʷ	p ʷ/w
^pˠ	p ˠ/ɣ
^q	q
^qx	qχ
^r	r
^r$	r
^r̥	r̥
^s	s
^s$	s
^ss	s + s
^sw	s w
^sʰ	sʰ
^sʰ$	sʰ
^sʰw	sʰ w
^sʰʷ	sʰ ʷ/
^sʷ	s ʷ/w
^t	t
^t$	t
^th	tʰ
^ts	ts
^tt	t + t
^tw	t w
^tʃ	tʃ
^tʃw	tʃ w
^tʃʰ	tʃʰ
^tʃʰw	tʃʰ w
^tʃʰʷ	tʃʰ ʷ/w
^tʃʷ	tʃ ʷ/w
^tʰ	tʰ
^tʰw	tʰ w
^tʰʷ	tʰ ʷ/w
^tʷ	t ʷ/w
^tˡ	t ˡ/l
^t̥	t̥
^t̪	t̪
^t̪h	t̪ʰ
^t̪ʰ	t̪ʰ
^t̯	t̯/ʈ
^t̯ʰ	t̯ʰ/ʈʰ
