ID	Name	Language	SubGroup	ISO639P3code	Location	Town	Speaker
TaungthaWethet-T-1	Taungtha (Wethet)	S-Matu/Rawngtu	Taungtha	rtc	Htilin	Wethet	T-1
TaungthaThanpuya-T-2	Taungtha (Thanpuya)	S-Matu/Rawngtu	Taungtha	rtc	Htilin	Thanpuya	T-2
TaungthaKyarOoYin-T-3	Taungtha (Kyar Oo Yin)	S-Matu/Rawngtu	Taungtha	rtc	Htilin	Kyar Oo Yin	T-3
TaungthaYeShin-T-4	Taungtha (Ye Shin)	S-Matu/Rawngtu	Taungtha	rtc	Saw	Ye Shin	T-4
MaraNgaphaipi-T-6	Mara (Ngaphaipi)	Mara	Taungtha	mrh	Thantlang	Ngaphaipi	T-6
MaraLailenpi-T-5	Mara (Lailenpi)	Mara	Taungtha	mrh	Matupi	Lailenpi	T-5
ThaiphumRengkheng-T-7	Thaiphum (Rengkheng)	S-Khumi	Taungtha	cth	Matupi	Rengkheng	T-7
BawmBahungTaung-T-8	Bawm (Bahung Taung)	Central	Taungtha	bgr	Paletwa	Bahung Taung	T-8
AshoKokanTan-A-1	Asho (Kokan Tan)	S-Asho	Asho	csh	Ann	Kokan Tan	A-1
AshoPadekyawt-A-2	Asho (Padekyawt)	S-Asho	Asho	csh	Ann	Padekyawt	A-2
AshoPadar-A-3	Asho (Padar)	S-Asho	Asho	csh	Ma-I	Padar	A-3
AshoSalu-A-4	Asho (Salu)	S-Asho	Asho	csh	Taunggup	Salu	A-4
AshoTarye-A-5	Asho (Tarye)	S-Asho	Asho	csh	Taunggup	Tarye	A-5
AshoKankawTaung-A-6	Asho (Kankaw Taung)	S-Asho	Asho	csh	Kyeintali	Kankaw Taung	A-6
AshoJatetaw-A-7	Asho (Jatetaw)	S-Asho	Asho	csh	Thandwe	Jatetaw	A-7
AshoShinsawPyin-A-8	Asho (Shinsaw Pyin)	S-Asho	Asho	csh	Thandwe	Shinsaw Pyin	A-8
AshoKhamaungShaeTaing-A-9	Asho (Khamaung Shae Taing)	S-Asho	Asho	csh	Ranbye	Khamaung Shae Taing	A-9
AshoSaryeKwin-A-10	Asho (Sarye Kwin)	S-Asho	Asho	csh	Padaung	Sarye Kwin	A-10
AshoLinde-A-11	Asho (Linde)	S-Asho	Asho	csh	Nga Phay	Linde	A-11
AshoTayPhyu-A-13	Asho (Tay Phyu)	S-Asho	Asho	csh	TaungDwin Kyi	Tay Phyu	A-13
TaungthaMie-U-1	Taungtha (Mi-e)	S-Matu/Rawngtu	Uppu	rtc	Kyauk Htu	Mi-e	U-1
UppuBuddhagarma-U-2	Uppu (Buddhagarma)	S-Asho	Uppu	cnb	Paletwa	Buddhagarma	U-2
UppuKhaingzi-U-3	Uppu (Khaingzi)	S-Asho	Uppu	cnb	Minbya	Khaingzi	U-3
UppuChinLetmon-U-4	Uppu (Chin Letmon)	S-Asho	Uppu	cnb	Kanpetlet	Chin Letmon	U-4
UppuKyinDwe-U-5	Uppu (Kyin Dwe)	S-Asho	Uppu	cnb	Kanpetlet	Kyin Dwe	U-5
UppuYan-U-6	Uppu (Yan)	S-Asho	Uppu	cnb	Laung Shae	Yan	U-6
UppuNatkyi-U-7	Uppu (Natkyi)	S-Asho	Uppu	cnb	Seddutaya	Natkyi	U-7
MayinnOwnwa-U-9	Mayinn (Ownwa)	S-Asho	Uppu	cnb	Seddutaya	Ownwa	U-9
LonpawKhoimalaung-U-9	Lonpaw (Khoimalaung)	S-Asho	Uppu	cnb	Seddutaya	Khoimalaung	U-9
MinkyaChi-U-10	Minkya (Chi)	S-Asho	Uppu	cnb	Seddutaya	Chi	U-10
DoituHetsawlay-U-11	Doitu (Hetsawlay)	S-Asho	Uppu	csj	Minbya	Hetsawlay	U-11
LaituKhuasung-U-12	Laitu (Khuasung)	S-Asho	Uppu	clj	Minbya	Khuasung	U-12
LaituZaingchaung-U-13	Laitu (Zaingchaung)	S-Asho	Uppu	clj	Minbya	Zaingchaung	U-13
LaituKruChaung-U-14	Laitu (Kʰruŋ Chaung)	S-Asho	Uppu	clj	Minbya	Kʰruŋ Chaung	U-14
EkaiDaletYwaHaung-D-1	Ekai Dalet Ywa Haung	S-Asho	Dalet	csv	Ann	Dalet Ywa Haung	D-1
KhulaiAyeChaungKwanwa-D-5	Khulai Aye Chaung Kwanwa	S-Asho	Dalet	csv	Ann	Aye Chaung Kwanwa	D-5
DaituNyaungChaungYwa-D-4	Daitu Nyaung Chaung Ywa	S-Asho	Dalet	csv	Ann	Nyaung Chaung Ywa	D-4
KhamawLakeKone-D-2	Khamaw Lake Kone	S-Asho	Dalet	csh	Ann	Lake Kone	D-2
SaingbongAyoTaung-D-3	Saingbong Ayo Taung	S-Asho	Dalet	csh	Ann	Ayo Taung	D-3
SaingbongAnnChaungYonChaung-A	Saingbong (Ann Chaung) Yon Chaung	S-Asho	Dalet	csh	Ann	Yon Chaung	??
UppuCintwe-A	Uppu Cintwe	S-Asho	SChn	cnb	Kanpetlet	Cintwe	
UppuSaw-A	Uppu Saw	S-Asho	SChn	cnb	Saw	Saw	
UppuKhaici-A	Uppu Khaici	S-Asho		cnb	Minbya	Khaici	
AshoAungLan-A	Asho Aung Lan	S-Asho	Yangon	csh	Aung Lan	Aung Lan	
LaisawThuHtayKung-A	Laisaw Thu Htay Kung	S-Asho	Mro-Khimi	clj	Minnpya	Thu Htay Kung	
LaisawMraukUTown-A	Laisaw Mrauk U Town	S-Asho	Mro-Khimi	clj	Mrauk U	Mrauk U Town	
HyowKongtuBoroKukyachariinRajasthali-A	Hyow-Kongtu Boro Kukyachari (in Rajasthali)	S-Asho	Bangladesh	csh		Boro Kukyachari (in Rajasthali)	
HyowLaituGhungurumukParainBandarban-A	Hyow-Laitu Ghungurumukʰ Para (in Bandarban)	S-Asho	Bangladesh	csh		Ghungurumukʰ Para (in Bandarban)	
SonglaiHettui8KarchaungHettui-A	Songlai-Hettui 8Karchaung (Hettui)	S-Asho	Paletwa Daai	csj		8Karchaung (Hettui)	
SonglaiMaungUmSong1MaungUmSong-A	Songlai-Maung Um (Song) 1Maung Um (Song)	S-Asho	Paletwa Daai	csj		1Maung Um (Song)	
SonglaiLai2PyinLoneKyiLai-A	Songlai-Lai 2Pyin Lone Kyi (Lai)	S-Asho	Paletwa Daai	csj		2Pyin Lone Kyi (Lai)	
SonglaiDoitu9MaungYwaDoitu-A	Songlai-Doitu 9Maung Ywa (Doitu)	S-Asho	Paletwa Daai	csj		9Maung Ywa (Doitu)	
LaituKongtuHteinpin-A	Laitu-Kongtu Hteinpin	S-Asho	Yangon	clj		Hteinpin	
LaituSangkai-A	Laitu Sangkai	S-Asho	Laitu-Sumtu	clj	Lemro (Songlai)	Sangkai	
LaituKaikyi-A	Laitu Kaikyi	S-Asho	Laitu-Sumtu	clj	Phuntha (Daitu)	Kaikyi	
Laitu-A	Laitu ???	S-Asho	Laitu-Sumtu	clj	Dalet (Lawktu)	???	
LaituAhongdong-A	Laitu Ahongdong	S-Asho	Laitu-Sumtu	clj	Kanni	Ahongdong	
LaituNyuanNetKhwahsung-A	Laitu Nyuan Net Khwah-sung	S-Asho	Laitu-Sumtu	clj	Kanni	Nyuan Net Khwah-sung	
LaituPharpyaw-A	Laitu Pharpyaw	S-Asho	Laitu-Sumtu	clj	Kanni	Pharpyaw	
LaituPheithapyin-A	Laitu Pheithapyin	S-Asho	Laitu-Sumtu	clj	Kanni	Pheithapyin	
SumtuDookkan-A	Sumtu Dookkan	S-Asho	Laitu-Sumtu	csv		Dookkan	
NggaKantthayung-A	Ng'ga Kant-thayung	S-Cho/Daai	Matupi Daai	mwq	Kanpetlet	Kant-thayung	
NggaHlaLawngPang-A	Ng'ga Hla Lawng Pang	S-Cho/Daai	Matupi Daai	mwq	Kanpetlet	Hla Lawng Pang	
KaangKruk-A	Kaang Kruk	S-Cho/Daai	Matupi Daai	ckn		Kruk	
