ID	Name	Language	SubGroup	ISO639P3code	Location	Town	Speaker
ChangpyangChangPyang-A	Changpyang Chang Pyang	S-Cho/Daai	Matupi Daai	dao		Chang Pyang	
DaaiTuisip-A	Daai Tuisip	S-Cho/Daai	Matupi Daai	dao		Tuisip	
DaaiAmsoi-A	Daai Amsoi	S-Cho/Daai	Matupi Daai	dao		Amsoi	
DaaiKalim-A	Daai Kal-im	S-Cho/Daai	Matupi Daai	dao		Kal-im	
DaaiKaangKhinphong-A	Daai/Kaang Khinphong	S-Cho/Daai	Matupi Daai	ckn		Khinphong	
DaaiLowerKheng-A	Daai Lower Kheng	S-Cho/Daai	Matupi Daai	dao		Lower Kheng	
DaaiMartu-A	Daai Martu	S-Cho/Daai	Matupi Daai	dao		Martu	
DaaiRung-A	Daai Rung	S-Cho/Daai	Matupi Daai	dao		Rung	
DaaiLingtuiLungtui-A	Daai Lingtui (Lungtui)	S-Cho/Daai	Matupi Daai	dao		Lingtui (Lungtui)	
DaaiAwisi-A	Daai Awisi	S-Cho/Daai	Matupi Daai	dao		Awisi	
DaaiNgxang5HungNghang-A	Daai-Ngxang  5Hung (Ng'hang)	S-Cho/Daai	Paletwa Daai	dao		5Hung (Ng'hang)	
DaaiNgxang6KhengsanuNghang-A	Daai-Ngxang  6Khengsanu (Ng'hang)	S-Cho/Daai	Paletwa Daai	dao		6Khengsanu (Ng'hang)	
DaaiNgxang7HmungtunuNghang-A	Daai-Ngxang  7Hmungtunu (Ng'hang)	S-Cho/Daai	Paletwa Daai	dao		7Hmungtunu (Ng'hang)	
DaaiYet3BuchaungwaYet-A	Daai-Yet 3Buchaungwa (Yet)	S-Cho/Daai	Paletwa Daai	dao		3Buchaungwa (Yet)	
DaaiYetHettui4MawsungkyiYet-A	Daai-Yet/Hettui 4Mawsungkyi (Yet)	S-Cho/Daai	Paletwa Daai	dao		4Mawsungkyi (Yet)	
DaarYinduLontung-A	Daar (Yindu) Lontung	S-Cho/Daai	Daai Trip 1	dao		Lontung	
DaarYinduMsatui-A	Daar (Yindu) Msatui	S-Cho/Daai	Daai Trip 1	dao		Msatui	
DaaiTuili-A	Daai Tuili	S-Cho/Daai	Daai Trip 1	dao		Tuili	
DaaiMkuiimnu-A	Daai Mkui-im-nu	S-Cho/Daai	Daai Trip 1	dao		Mkui-im-nu	
DaaiBantoi-A	Daai Bantoi	S-Cho/Daai	Daai Trip 1	dao		Bantoi	
DaaiDuk-A	Daai Duk	S-Cho/Daai	Daai Trip 1	dao		Duk	
DaaiNghngiloor-A	Daai Nghngilo or ɣɑŋ	S-Cho/Daai	Daai Trip 1	dao	Kanpetlet	Nghngilo or ɣɑŋ	
MuunNgMenSheetHmawi-A	Muun (Ng'Men) Sheet Hmawi	S-Cho/Daai	Southern Chin	mwq	Mindat	Sheet Hmawi	
MuunNituShingBawk-A	Muun (Nitu) Shing Bawk	S-Cho/Daai	Southern Chin	mwq	Mindat	Shing Bawk	
NgGah-A	Ng'Gah ???	S-Cho/Daai	Southern Chin	mwq	Kanpetlet	???	
DaaiKhengLowerKheng-A	Daai (Kheng) Lower Kheng	S-Cho/Daai		dao	Mindat	Lower Kheng	
KaangKruk-A	Kaang Kruk	S-Cho/Daai		ckn	Mindat	Kruk	
DaaiMatupiReung-A	Daai (Matupi) Reung	S-Cho/Daai		dao	Matupi	Reung	
DaaiPaletwaMuntunu-A	Daai (Paletwa) Muntunu	S-Cho/Daai		dao	Paletwa	Muntunu	
MatuHaltu-A	Matu Haltu	S-Matu/Rawngtu		hlt	Matupi	Haltu	
RawngtuWeilong-A	Rawngtu Weilong	S-Matu/Rawngtu		weu	Mindat	Weilong	
RawngtuKyawnNam-A	Rawngtu Kyawn Nam	S-Matu/Rawngtu		weu	Mindat	Kyawn Nam	
RawngtuBoishi-A	Rawngtu Boishi	S-Matu/Rawngtu		weu	Mindat	Boishi	
RawngtuRamtim-A	Rawngtu Ramtim	S-Matu/Rawngtu		weu	Matupi	Ramtim	
MatuNgala-A	Matu Ngala	S-Matu/Rawngtu		hlt	Matupi	Ngala	
MatuLangleTamtlaih-A	Matu Lang-le/Tamtlaih	S-Matu/Rawngtu		hlt	Matupi	Lang-le/Tamtlaih	
MatuPhaneng-A	Matu Phaneng	S-Matu/Rawngtu		hlt	Matupi	Phaneng	
MatuNgaleng-A	Matu Ngaleng	S-Matu/Rawngtu		hlt	Matupi	Ngaleng	
MatuVuitu-A	Matu Vuitu	S-Matu/Rawngtu		hlt	Matupi	Vuitu	
MatuNgatu-A	Matu Ngatu	S-Matu/Rawngtu		hlt	Matupi	Ngatu	
MatuValang-A	Matu Valang	S-Matu/Rawngtu		hlt	Matupi	Valang	
RungtuNorthThanpaya-A	Rungtu (North) Thanpaya	S-Matu/Rawngtu		rtc	Htilin	Thanpaya	
RungtuCentralHtanpinkung-A	Rungtu (Central) Htanpinkung	S-Matu/Rawngtu		rtc	Htilin	Htanpinkung	
RungtuSouthMihae-A	Rungtu (South) Mih-ae	S-Matu/Rawngtu		rtc	Kyaukhtu	Mih-ae	
MroKhimiAreong10KyaGaungvillageMrokhami-A	Mro-Khimi Areong 10Kya Gaung village (Mro-khami)	S-Khumi	Paletwa Daai	cmr		10Kya Gaung village (Mro-khami)	
AreongKuwa-A	Areong Kuwa	S-Khumi	Mro-Khimi	cmr	Paletwa	Kuwa	
AreongKhuHlaing-A	Areong Khu Hlaing	S-Khumi	Mro-Khimi	cmr	Mrauk U	Khu Hlaing	
xenaAgYa-A	xena Ag Ya	S-Khumi	Mro-Khimi	cmr	Kyauktaw	Ag Ya	
XangtauNgaYoukKaing-A	Xangtau Nga Youk Kaing	S-Khumi	Mro-Khimi	cmr	Kyauktaw	Nga Youk Kaing	
WakungAwaPyin-A	Wakung Awa Pyin	S-Khumi	Mro-Khimi	cmr	Mrauk U	Awa Pyin	
WakungMarlar-A	Wakung Marlar	S-Khumi	Mro-Khimi	cmr	Kyauktaw	Marlar	
WakungMyaTay-A	Wakung Mya Tay	S-Khumi	Mro-Khimi	cmr	Pauktaw	Mya Tay	
WakungKwaeChaung-A	Wakung Kwae Chaung	S-Khumi	Mro-Khimi	cmr	Buthidaung	Kwae Chaung	
WakungLwinpuTaung-A	Wakung Lwinpu Taung	S-Khumi	Mro-Khimi	cmr	Ponnagyun	Lwinpu Taung	
MrusaDakKthiHl-A	Mrusa(Dak) Kɑthi Hlɑ	S-Khumi	Mro-Khimi	mro	Buthidaung	Kɑthi Hlɑ	
KhenlakLuivang-A	Khenlak Luivang	S-Khumi		cek	Matupi	Luivang	
AsangLamoitong-A	Asang Lamoitong	S-Khumi		cek	Paletwa	Lamoitong	
RengcaDaiHnan-A	Rengca Dai-Hnan	S-Khumi		cek	Matupi	Dai-Hnan	
Zotung-A	Zotung ??	Central	Lautu	czt	Matupi	??	
HakhaHakhaTown-A	Hakha Hakha Town	Central	Lautu	cnh	Hakha	Hakha Town	
Mara-A	Mara	Mara	Lautu	mrh	Paletwa		
Zophei-A	Zophei ??	Mara	Lautu	zyp		??	
ThaiphumRengKheng-A	Thaiphum Reng Kheng	??		cth	Matupi	Reng Kheng	
