ID	NUMBER	ENGLISH	AlternativeName	CONCEPTICON_ID	CONCEPTICON_GLOSS
366	366	ten	ten (persons)	1515	TEN
367	367	twenty	twenty (persons)	1710	TWENTY
368	368	hundred	hundred (persons)	1634	HUNDRED
369	369	one thousand	thousand (persons)	1843	THOUSAND
370	370	to be many	to be many (people)	1198	MANY
371	371	all	all	98	ALL
372	372	some	some (people)	1241	SOME
373	373	to be few	to be few (people)	1242	FEW
374	374	half	half (quantity)	816	HALF
375	375	to be big	to be big	1202	BIG
376	376	to be small	to be small	1246	SMALL
377	377	to be long	to be long	1203	LONG
378	378	to be short	to be short (length)	1645	SHORT
379	379	to be tall	to be tall	711	TALL
380	380	to be short	to be short (height)	2191	LOW (HEIGHT)
381	381	to be thick	to be thick (thing)	1244	THICK
382	382	to be thin	to be thin (thing)	2308	THIN
383	383	to be fat	to be fat (person)	1279	FAT (OBESE)
384	384	to be skiny	to be skinny (person)	1400	THIN (SLIM)	
385	385	to be wide	to be wide/broad	1243	WIDE
386	386	to be narrow	to be narrow	1267	NARROW
387	387	to be deep	to be deep	1593	DEEP
388	388	to be shallow	to be shallow	193	SHALLOW
389	389	to be round	to be round	1395	ROUND
390	390	to be full	to be full (container)	1429	FULL
391	391	right side	right side	1019	RIGHT
392	392	left side	left side	244	LEFT
393	393	to be straight	to be straight (road)	1404	STRAIGHT
394	394	to be far	to be far (village many miles away)	1406	FAR
395	395	to be near	to be near (village very near)	1942	NEAR
396	396	this	this	1214	THIS
397	397	that	that	78	THAT
398	398	black	black	163	BLACK
399	399	white	white	1335	WHITE
400	400	red	red	156	RED
401	401	green	green	1425	GREEN
402	402	yellow	yellow	1424	YELLOW
403	403	to be dirty	to be dirty (clothes)	1230	DIRTY
404	404	to be new	to be new (things)	1231	NEW
405	405	to be old	to be old (things)	1229	OLD
406	406	to be dark	to be dark (outside)	706	DARK
407	407	to shine	to shine (flashlight)	708	SHINE
408	408	to be the same	to be the same	200	SAME
409	409	to be sweet	to be sweet	717	SWEET
410	410	to be sour	to be sour	1906	SOUR
411	411	to be bitter	to be bitter	887	BITTER
412	412	to be spicy	to be spicy	544	SPICY
413	413	to be rotten	to be rotten	1728	ROTTEN
414	414	to be swollen	to be swollen	1573	SWELL
415	415	to be dry	to be dry (rice)	1398	DRY
416	416	to be wet	to be wet (with water)	1726	WET
417	417	to be sharp	to be sharp	1396	SHARP
418	418	to be blunt	to be blunt	379	BLUNT
419	419	to be heavy	to be heavy	1210	HEAVY
420	420	to be light	to be light	737	LIGHT (IGNITE)
421	421	to be hard	to be hard (rock)	1884	HARD
422	422	to be soft	to be soft (cotton)	1856	SOFT
423	423	to be smooth	to be smooth (road)	1234	SMOOTH
424	424	to be rough	to be rough (road)	1923	ROUGH
425	425	to be fast	to be fast	1631	FAST
426	426	to be slow	to be slow	701	SLOW
427	427	to be strong	to be strong	785	STRONG
428	428	to be weak	to be weak	1601	WEAK
429	429	to be tired	to be tired	1757	TIRED
430	430	to be ill	to be ill, sick	1847	SICK
431	431	to be blind	to be blind	1653	BLIND
432	432	to be deaf	to be deaf	996	DEAF
433	433	to be bald	bald	1125	BALD
434	434	to be good	to be good	1035	GOOD
435	435	to be bad	to be bad	1292	BAD
436	436	to be correct	to be correct	1725	CORRECT (RIGHT)
437	437	to be wrong	to be wrong	1390	WRONG
438	438	when (past)	when (past)	1238	WHEN
439	439	when (future)	when (future)	1238	WHEN
440	440	where	where	1237	WHERE
441	441	who	who	1235	WHO
442	442	what	what	1236	WHAT
443	443	how many	how many (persons)	822	HOW MANY
444	444	I	I (1s)	1209	I
445	445	you (sg)	you (2s)	1215	THOU
446	446	he, she	he/she (3s)	2642	HE OR SHE
447	447	we (pl)	we (1p)	1212	WE
448	448	you(pl)	you (2p)	1213	YOU
449	449	they	they (3p)	817	THEY
450	450	to take	to take	1749	TAKE
451	451	to put, place	to put/place	998	PUT
452	452	to be lost	to be lost or disappear			
453	453	to bend	to bend	2224	BEND (SOMETHING)
454	454	to lift	to lift	501	LIFT
455	455	to do, make	to do/make (something)	2575	DO OR MAKE
456	456	don't do it	don't do it	2660	DO NOT DO IT
457	457	to be difficult	to be difficult	584	DIFFICULT
458	458	to be easy	to be easy	686	EASY
459	459	to be loose	to be loose	2506	LOOSE
460	460	to be tight	to be tight	3053	TIGHT
461	461	to set free	to set free, let go (animal)	1095	LET GO OR SET FREE
462	462	to squeeze	to squeeze	1414	SQUEEZE
