ID	DOCULECT	CONCEPT	TRANSCRIPTION
47659	TaungthaWethet-T-1	I	tʃe
47660	TaungthaThanpuya-T-2	I	tʃe
47661	TaungthaKyarOoYin-T-3	I	tʃe
47662	TaungthaYeShin-T-4	I	tʃe
47663	MaraNgaphaipi-T-6	I	ke.mɑ
47664	MaraLailenpi-T-5	I	kɑ
47665	ThaiphumRengkheng-T-7	I	kɑi
47666	BawmBahungTaung-T-8	I	ke.mɑ
47667	AshoKokanTan-A-1	I	tʃe
47668	AshoPadekyawt-A-2	I	tʃe
47669	AshoPadar-A-3	I	tʃe
47670	AshoSalu-A-4	I	ke
47671	AshoTarye-A-5	I	tʃe
47672	AshoKankawTaung-A-6	I	tʃe
47673	AshoJatetaw-A-7	I	tʃe
47674	AshoShinsawPyin-A-8	I	tʃe
47675	AshoKhamaungShaeTaing-A-9	I	tʃe
47676	AshoSaryeKwin-A-10	I	tʃe
47677	AshoLinde-A-11	I	ke
47678	AshoTayPhyu-A-13	I	tʃe
47679	TaungthaMie-U-1	I	tʃe
47680	UppuBuddhagarma-U-2	I	tʃe
47681	UppuKhaingzi-U-3	I	tʃe
47682	UppuChinLetmon-U-4	I	tʃe
47683	UppuKyinDwe-U-5	I	tʃe
47684	UppuYan-U-6	I	tʃe
47685	UppuNatkyi-U-7	I	tʃe
47686	MayinnOwnwa-U-9	I	tʃe
47687	LonpawKhoimalaung-U-9	I	tʃe
47688	MinkyaChi-U-10	I	tʃe
47689	DoituHetsawlay-U-11	I	ke
47690	LaituKhuasung-U-12	I	ke
47691	LaituZaingchaung-U-13	I	ki
47692	LaituKruChaung-U-14	I	ki
47693	EkaiDaletYwaHaung-D-1	I	kɛ
47694	KhulaiAyeChaungKwanwa-D-5	I	kɛ
47695	DaituNyaungChaungYwa-D-4	I	kɛ
47696	KhamawLakeKone-D-2	I	kɛ
47697	SaingbongAyoTaung-D-3	I	kɛ
47698	SaingbongAnnChaungYonChaung-A	I	kje
47699	UppuKhaici-A	I	tʃe
47700	LaisawThuHtayKung-A	I	kɛ
47701	LaisawMraukUTown-A	I	kɛ
47702	SonglaiHettui8KarchaungHettui-A	I	ke
47703	SonglaiMaungUmSong1MaungUmSong-A	I	ke
47704	SonglaiLai2PyinLoneKyiLai-A	I	ke
47705	SonglaiDoitu9MaungYwaDoitu-A	I	ke
47706	LaituKongtuHteinpin-A	I	ke
47707	LaituSangkai-A	I	ke
47708	LaituKaikyi-A	I	ki
47709	LaituAhongdong-A	I	ki
47710	LaituNyuanNetKhwahsung-A	I	ki
47711	LaituPharpyaw-A	I	ki
47712	LaituPheithapyin-A	I	ki
47713	SumtuDookkan-A	I	ke
47714	NggaKantthayung-A	I	tʃe
47715	NggaHlaLawngPang-A	I	ke/tʃe
47716	KaangKruk-A	I	ke
47717	ChangpyangChangPyang-A	I	kɑi
47718	DaaiTuisip-A	I	kɑi
47719	DaaiAmsoi-A	I	kɑi
47720	DaaiKalim-A	I	kɑi
47721	DaaiKaangKhinphong-A	I	ke
47722	DaaiLowerKheng-A	I	ke
47723	DaaiMartu-A	I	ke
47724	DaaiRung-A	I	ke
47725	DaaiLingtuiLungtui-A	I	ke
47726	DaaiAwisi-A	I	ke
47727	DaaiNgxang5HungNghang-A	I	ke
47728	DaaiNgxang6KhengsanuNghang-A	I	ke
47729	DaaiNgxang7HmungtunuNghang-A	I	ke
47730	DaaiYet3BuchaungwaYet-A	I	ke
47731	DaaiYetHettui4MawsungkyiYet-A	I	ke
47732	DaarYinduLontung-A	I	ke
47733	DaarYinduMsatui-A	I	ke/tʃe
47734	DaaiTuili-A	I	ke
47735	DaaiMkuiimnu-A	I	ke
47736	DaaiBantoi-A	I	ke
47737	DaaiDuk-A	I	ke
47738	DaaiNghngiloor-A	I	ke
47739	RawngtuWeilong-A	I	ke
47740	RawngtuKyawnNam-A	I	ke
47741	RawngtuBoishi-A	I	ke
47742	RawngtuRamtim-A	I	ke
47743	MatuPhaneng-A	I	kɑi
47744	MroKhimiAreong10KyaGaungvillageMrokhami-A	I	kɑi
47745	AreongKuwa-A	I	kɑi
47746	AreongKhuHlaing-A	I	kɛ
47747	xenaAgYa-A	I	kɛ
47748	XangtauNgaYoukKaing-A	I	kɛ
47749	WakungAwaPyin-A	I	kɛ
47750	WakungMarlar-A	I	kɛ
47751	WakungMyaTay-A	I	kei
47752	WakungKwaeChaung-A	I	kɛ
47753	WakungLwinpuTaung-A	I	kɛ
47754	MrusaDakKthiHl-A	I	ŋɑ
47755	AsangLamoitong-A	I	kai
47756	Zotung-A	I	kə.mo
47757	HakhaHakhaTown-A	I	ke.mɑ
47758	Mara-A	I	ke
47759	Zophei-A	I	kɑ.mɑ
39970	TaungthaWethet-T-1	all	pɔi.kʰə
39971	TaungthaThanpuya-T-2	all	pei.pei
39972	TaungthaKyarOoYin-T-3	all	ʔɑ.pei.hɑŋ.kʰə
39973	TaungthaYeShin-T-4	all	ʔɑ.pei.lum
39974	MaraNgaphaipi-T-6	all	ʔɑ.ʔɯ.lɯ
39975	MaraLailenpi-T-5	all	ʔɑ.ʔɯ.lɯ
39976	ThaiphumRengkheng-T-7	all	ʔɑ.bɯn.lɑʔ
39977	BawmBahungTaung-T-8	all	ʔɛi.te
39978	AshoKokanTan-A-1	all	pɔi.dɔʔ.dwɑŋ
39979	AshoPadekyawt-A-2	all	sɛ.sɛ
39980	AshoPadar-A-3	all	po.po
39981	AshoSalu-A-4	all	pɔi.dɔ
39982	AshoTarye-A-5	all	po.po
39983	AshoKankawTaung-A-6	all	po.po
39984	AshoJatetaw-A-7	all	tʃɔ.tʃɔ.pɔi
39985	AshoShinsawPyin-A-8	all	ʔɑ.kɯŋ
39986	AshoKhamaungShaeTaing-A-9	all	ʔɑ.lən
39987	AshoSaryeKwin-A-10	all	ʔɑ.kɯŋ.dwɑŋ
39988	AshoLinde-A-11	all	pɔi.dɔ
39989	AshoTayPhyu-A-13	all	pɔi.vɔi
39990	TaungthaMie-U-1	all	ʔ.pe
39991	UppuBuddhagarma-U-2	all	kʰ.lɑi
39992	UppuKhaingzi-U-3	all	pɔi.tʃɯn
39993	UppuChinLetmon-U-4	all	pɔi.pɔi
39994	UppuKyinDwe-U-5	all	pɔi.luŋ
39995	UppuYan-U-6	all	luŋ.lɑ
39996	UppuNatkyi-U-7	all	ʔ.luŋ.mɑ
39997	MayinnOwnwa-U-9	all	pei
39998	LonpawKhoimalaung-U-9	all	ʔ.pei
39999	MinkyaChi-U-10	all	pei.lu.du
40000	DoituHetsawlay-U-11	all	p.pɔi
40001	LaituKhuasung-U-12	all	tʃɑŋ.tʃɑŋ
40002	LaituZaingchaung-U-13	all	pɔi.pɔi
40003	LaituKruChaung-U-14	all	k.klɔ.tum
40004	EkaiDaletYwaHaung-D-1	all	ɑ.lə
40005	KhulaiAyeChaungKwanwa-D-5	all	ɑ.lə
40006	DaituNyaungChaungYwa-D-4	all	ɑ.luŋ
40007	KhamawLakeKone-D-2	all	a.luŋ
40008	SaingbongAyoTaung-D-3	all	pui.dɔ
40009	SaingbongAnnChaungYonChaung-A	all	pɔ.pɔ.dɔ
40010	UppuKhaici-A	all	pɔiʔ.lum/pɔiʔ.
40011	LaisawThuHtayKung-A	all	kʰɔ.kʰɔ.luŋ
40012	LaisawMraukUTown-A	all	om.luŋ
40013	SonglaiHettui8KarchaungHettui-A	all	ʔɑ lum
40014	SonglaiMaungUmSong1MaungUmSong-A	all	ʔɑ lum
40015	SonglaiLai2PyinLoneKyiLai-A	all	kiŋ.kiŋ/tom.t̯i
40016	SonglaiDoitu9MaungYwaDoitu-A	all	kriŋ.kriŋ/tɔm.t̯i
40017	LaituKongtuHteinpin-A	all	tʃɔŋ.tʃɔŋ
40018	LaituSangkai-A	all	tʃɒŋ tʃɑŋ)/ kiŋ kiŋ
40019	LaituKaikyi-A	all	pə.pəiʔ
40020	LaituAhongdong-A	all	pə.pəiʔ
40021	LaituNyuanNetKhwahsung-A	all	pə.pəiʔ.t̯ɔn
40022	LaituPharpyaw-A	all	pə.pəiʔ
40023	LaituPheithapyin-A	all	pə.pəiʔ (all)/ sɑ.sɑ (much)
40024	SumtuDookkan-A	all	sɑiʔ.sɑiʔ
40025	NggaKantthayung-A	all	ʔɑ ŋ.ɗən
40026	NggaHlaLawngPang-A	all	ʔɑ ŋ.ɗən
40027	KaangKruk-A	all	ʔɑ.vɑn
40028	ChangpyangChangPyang-A	all	ʔɑ pum ɓɨʔ
40029	DaaiTuisip-A	all	ʔɑ tʃu.nɑ
40030	DaaiAmsoi-A	all	ʔɑ tʃu.lɑ
40031	DaaiKalim-A	all	ʔɑ kʰəi
40032	DaaiKaangKhinphong-A	all	ʔɑ kʰəi
40033	DaaiLowerKheng-A	all	ʔɑ ŋ.kʰə
40034	DaaiMartu-A	all	ʔɑ ŋ.tu
40035	DaaiRung-A	all	ʔɑ lum
40036	DaaiLingtuiLungtui-A	all	ʔɑ tʃu.pɨk
40037	DaaiAwisi-A	all	ʔɑ lum
40038	DaaiNgxang5HungNghang-A	all	kiŋ.kiŋ
40039	DaaiNgxang6KhengsanuNghang-A	all	kiŋ.kiŋ
40040	DaaiNgxang7HmungtunuNghang-A	all	ʔɑ lum
40041	DaaiYet3BuchaungwaYet-A	all	ʔɑ lum
40042	DaaiYetHettui4MawsungkyiYet-A	all	ʔɑ lum
40043	DaarYinduLontung-A	all	ʔɑ t̯ɔm/ ʔɑ ɓəŋ
40044	DaarYinduMsatui-A	all	ʔɑ ɓəŋ
40045	DaaiTuili-A	all	ʔɑ vɑn
40046	DaaiMkuiimnu-A	all	ʔɑ ŋ.tu
40047	DaaiBantoi-A	all	ʔɑ vɑn
40048	DaaiDuk-A	all	ʔɑ wɑn
40049	DaaiNghngiloor-A	all	ʔɑ ɓəŋ
40050	RawngtuWeilong-A	all	ʔɑ tom
40051	RawngtuKyawnNam-A	all	ʔɑ ɬəm
40052	RawngtuBoishi-A	all	ʔɑ ɬəm
40053	RawngtuRamtim-A	all	ʔɑ tom lɑ
40054	MatuPhaneng-A	all	kɑŋ ɑʔ/ pʰil.tom
40055	MroKhimiAreong10KyaGaungvillageMrokhami-A	all	ʔɑ χə.lə.piʔ
40056	AreongKuwa-A	all	ʔɑ.xə.lə.kiŋ
40057	AreongKhuHlaing-A	all	ʔɑ.xə.lə.piʔ
40058	xenaAgYa-A	all	ʔɑ.xə.lə.piʔ
40059	XangtauNgaYoukKaing-A	all	ʔɑ.xə.lə.piʔ
40060	WakungAwaPyin-A	all	ʔɑ.xə.lə.piʔ
40061	WakungMarlar-A	all	ʔɑ.xə.lə.piʔ
40062	WakungMyaTay-A	all	ʔɑ.xɑŋ.lɪ.pi
40063	WakungKwaeChaung-A	all	ʔɑ.xə.lə.piʔ
40064	WakungLwinpuTaung-A	all	ʔɑ.xə.lə.piʔ
40065	MrusaDakKthiHl-A	all	suŋ.rɑu
40066	AsangLamoitong-A	all	boi.boiʔ
40067	Zotung-A	all	ɑ.bə.lɯn
40068	HakhaHakhaTown-A	all	ʔɑ.zɑ.pi
40069	Mara-A	all	ɯ.lɯ
40070	Zophei-A	all	ʔɑ.jɑw.miŋ.ti
9163	MaraNgaphaipi-T-6	animal	fə.r̥ɛi
9164	MaraLailenpi-T-5	animal	r̥ə.rɑi
9165	ThaiphumRengkheng-T-7	animal	mɔi.tʰɑŋ/sʰə.riŋ
9166	BawmBahungTaung-T-8	animal	rɑŋ
9167	AshoLinde-A-11	animal	pui.bɔŋ
9168	AshoTayPhyu-A-13	animal	pui.bɔŋ
9169	UppuCintwe-A	animal	0
9170	UppuSaw-A	animal	tɑ.rik.sʰɑn
9171	UppuKhaici-A	animal	ʔim.sɔ/ poŋ.sɔ
9172	LaisawThuHtayKung-A	animal	tə.ri.sʰɑn
9173	LaisawMraukUTown-A	animal	tə.ri.sʰɑn
9174	HyowKongtuBoroKukyachariinRajasthali-A	animal	kʰɔlɔu̯
9175	HyowLaituGhungurumukParainBandarban-A	animal	kʰɔlɔu̯
9176	SonglaiDoitu9MaungYwaDoitu-A	animal	tɔŋ.juŋ tɔŋ.ʃɔ
9177	LaituKongtuHteinpin-A	animal	jɔŋ.sʰɔ heʔ (monkey & other animals)
9178	LaituKaikyi-A	animal	təu.jɔŋ.təu.sʰɔ (W)
9179	LaituAhongdong-A	animal	təu.jɔŋ.təu.ʃɔ (W)
9180	LaituNyuanNetKhwahsung-A	animal	ʔɑ.ɬi.nɑ.kʰɔŋ (D)/təu.jɔŋ.təu.ʃɔ (W)
9181	LaituPharpyaw-A	animal	təu.jɔŋ.təu.ʃɔ (W)
9182	LaituPheithapyin-A	animal	təu.jɔŋ.təu.sʰɔ (W)
9183	SumtuDookkan-A	animal	?
9184	NggaKantthayung-A	animal	ʔɑ k.Xɨŋ k.sʰe
9185	NggaHlaLawngPang-A	animal	Xɨŋ k.sʰe
9186	KaangKruk-A	animal	kʰi.sʰɑ
9187	ChangpyangChangPyang-A	animal	ɣɑm.sʰɑ
9188	DaaiTuisip-A	animal	ɣɑm.sʰɑ
9189	DaaiAmsoi-A	animal	ɣɑm.sʰɑ
9190	DaaiKalim-A	animal	ɣɑm.ʃɑ
9191	DaaiKaangKhinphong-A	animal	kʰi.sʰɑ
9192	DaaiLowerKheng-A	animal	kʰi.sʰɑ
9193	DaaiMartu-A	animal	kɔŋ.kʰin
9194	DaaiRung-A	animal	qxin.nɛ.tʃɑ (kʰɔŋ)
9195	DaaiLingtuiLungtui-A	animal	ɣɑ.sʰɑ
9196	DaaiAwisi-A	animal	ɣɑm.ʃɑ
9197	DaaiNgxang5HungNghang-A	animal	sʰɑ
9198	DaaiNgxang6KhengsanuNghang-A	animal	k.kʰik k.sʰe
9199	DaaiNgxang7HmungtunuNghang-A	animal	kʰɨŋ k.sʰe
9200	DaaiYet3BuchaungwaYet-A	animal	k.kʰxɨk k.sʰe
9201	DaaiYetHettui4MawsungkyiYet-A	animal	kʰɨŋ k.sʰe
9202	DaarYinduLontung-A	animal	k.kʰxiŋ k.sʰe
9203	DaarYinduMsatui-A	animal	kʰxiŋ k.sʰe
9204	DaaiTuili-A	animal	kʰxiŋ k.sʰe/kʰi.sɑ
9205	DaaiMkuiimnu-A	animal	k.kʰxiŋ k.sʰe
9206	DaaiBantoi-A	animal	k.kʰxiŋ k.sʰe
9207	DaaiDuk-A	animal	kʰxɨŋ k.sʰe
9208	DaaiNghngiloor-A	animal	k.kʰxɨŋ k.sʰe
9209	MuunNgMenSheetHmawi-A	animal	kʰi.ɬɑ
9210	MuunNituShingBawk-A	animal	kʰi.sʰɑ
9211	NgGah-A	animal	xiŋ. ˤʃe
9212	DaaiKhengLowerKheng-A	animal	kʰi.sʰɑ
9213	KaangKruk-A	animal	prɔŋ.sʰɑ  /  im.ɓɔi
9214	DaaiMatupiReung-A	animal	ɣɑm.sʰɑ
9215	DaaiPaletwaMuntunu-A	animal	kxɨŋ  ˤsʰe
9216	MatuHaltu-A	animal	rɑm.sʰɑ
9217	RawngtuWeilong-A	animal	rɑm.ʃɑ/ʔim.ɓɔi
9218	RawngtuKyawnNam-A	animal	rɑm.ʃɑ/ʔim.ɓɔi
9219	RawngtuBoishi-A	animal	rɑm.sʰɑ/ʔui jɑ ɓoi
9220	RawngtuRamtim-A	animal	rɑm.ʃɑ
9221	MatuNgala-A	animal	ɣɑm.sʰɑ
9222	MatuLangleTamtlaih-A	animal	ɓoi.vɑ  / sʰu.vɑ
9223	MatuPhaneng-A	animal	sʰɑ.rɑm
9224	MatuNgaleng-A	animal	me.tɔiʔ
9225	MatuVuitu-A	animal	kʰɔ.huŋ.ʃɑ
9226	MatuNgatu-A	animal	rɑm.sʰɑ
9227	MatuValang-A	animal	rɑm.sʰɑ
9228	RungtuNorthThanpaya-A	animal	ʔɑ  nu  ʔɑ  nɑ
9229	RungtuCentralHtanpinkung-A	animal	rɑm  nu   / ʔɑ nu ʔɑ  nɑ
9230	RungtuSouthMihae-A	animal	ʔɑ.nu  ʔɑ.nɑ
9231	MroKhimiAreong10KyaGaungvillageMrokhami-A	animal	ɣɑ.sʰɑ
9232	WakungMyaTay-A	animal	they don't have this word
9233	WakungKwaeChaung-A	animal	sʰɑtu.sʰutɛ
9234	WakungLwinpuTaung-A	animal	sʰɑtu.sʰutɛ
9235	KhenlakLuivang-A	animal	tsum.tsɑ
9236	AsangLamoitong-A	animal	they don't seem they have it
9237	RengcaDaiHnan-A	animal	ɗi.tʰuŋ.sʰɑ
9238	Zotung-A	animal	sʰɑ.rɑŋ.bo
9239	HakhaHakhaTown-A	animal	sə.rɑŋ
9240	Mara-A	animal	fɑ.r̥e
9241	Zophei-A	animal	sə.rɑŋ
9242	ThaiphumRengKheng-A	animal	mɔi.tʰɑŋ
13933	TaungthaWethet-T-1	ant	liŋ.ti.nu
13934	TaungthaThanpuya-T-2	ant	liŋ.ti.nu
13935	TaungthaKyarOoYin-T-3	ant	liŋ.ti.nu
13936	TaungthaYeShin-T-4	ant	liŋ.ti.nu
13937	MaraNgaphaipi-T-6	ant	le.ʔɛ
13938	MaraLailenpi-T-5	ant	l̥ɑi.ʔu
13939	ThaiphumRengkheng-T-7	ant	luŋ.kʰi
13940	BawmBahungTaung-T-8	ant	ŋɑr.te/ŋɛr.te
13941	AshoKokanTan-A-1	ant	mə.liŋ
13942	AshoPadekyawt-A-2	ant	mə.liŋ
13943	AshoPadar-A-3	ant	mə.liŋ/bə.hi
13944	AshoSalu-A-4	ant	mə.liŋ
13945	AshoTarye-A-5	ant	mə.liŋ/bə.hi
13946	AshoKankawTaung-A-6	ant	mə.liŋ
13947	AshoJatetaw-A-7	ant	mə.liŋ
13948	AshoShinsawPyin-A-8	ant	mə.liŋ
13949	AshoKhamaungShaeTaing-A-9	ant	mə.liŋ.tʰo
13950	AshoSaryeKwin-A-10	ant	mə.liŋ
13951	AshoLinde-A-11	ant	mə.liŋ
13952	AshoTayPhyu-A-13	ant	mə.liŋ
13953	TaungthaMie-U-1	ant	riŋ.di
13954	UppuBuddhagarma-U-2	ant	m.ɬi
13955	UppuKhaingzi-U-3	ant	m.ɬiŋ
13956	UppuChinLetmon-U-4	ant	m.ɬiŋ
13957	UppuKyinDwe-U-5	ant	m.ɬiŋ
13958	UppuYan-U-6	ant	ɬiŋ
13959	UppuNatkyi-U-7	ant	liŋ
13960	MayinnOwnwa-U-9	ant	liŋ.nɯ
13961	LonpawKhoimalaung-U-9	ant	liŋ.nu
13962	MinkyaChi-U-10	ant	ɬiŋ
13963	DoituHetsawlay-U-11	ant	ɬɛŋ
13964	LaituKhuasung-U-12	ant	b.liŋ
13965	LaituZaingchaung-U-13	ant	ɬɛŋ
13966	LaituKruChaung-U-14	ant	ɬiŋ.sɔ
13967	EkaiDaletYwaHaung-D-1	ant	hliŋ.tʰu
13968	KhulaiAyeChaungKwanwa-D-5	ant	hliŋ.sʰɑ.mi
13969	DaituNyaungChaungYwa-D-4	ant	sʰiŋ.hliŋ
13970	KhamawLakeKone-D-2	ant	hliŋ.mi
13971	SaingbongAyoTaung-D-3	ant	ɑm.liŋ
13972	SaingbongAnnChaungYonChaung-A	ant	mɑ,liŋ
13973	LaisawThuHtayKung-A	ant	mə.liŋ
13974	LaisawMraukUTown-A	ant	mə.liŋ
13975	HyowKongtuBoroKukyachariinRajasthali-A	ant	imiŋ
13976	HyowLaituGhungurumukParainBandarban-A	ant	imiŋ
13977	SonglaiHettui8KarchaungHettui-A	ant	liŋ
13978	SonglaiMaungUmSong1MaungUmSong-A	ant	ɓi.ɬiŋ
13979	SonglaiLai2PyinLoneKyiLai-A	ant	ɓə.ɬiŋ
13980	SonglaiDoitu9MaungYwaDoitu-A	ant	ɬiŋ
13981	LaituKongtuHteinpin-A	ant	ɓɑ.ɬiŋ
13982	NggaKantthayung-A	ant	m.liŋ.kʰi
13983	NggaHlaLawngPang-A	ant	m.liŋ.kʰi
13984	KaangKruk-A	ant	liŋ
13985	ChangpyangChangPyang-A	ant	kʰɑ.sʰiʔ
13986	DaaiTuisip-A	ant	liːŋ
13987	DaaiAmsoi-A	ant	liːŋ
13988	DaaiKalim-A	ant	liːŋ
13989	DaaiKaangKhinphong-A	ant	liːŋ
13990	DaaiLowerKheng-A	ant	m.liːŋ
13991	DaaiMartu-A	ant	m.liːt
13992	DaaiRung-A	ant	m.liːŋ
13993	DaaiLingtuiLungtui-A	ant	liːŋ.hi
13994	DaaiAwisi-A	ant	liːŋ pə tʃɔŋ
13995	DaaiNgxang5HungNghang-A	ant	m.liːŋ
13996	DaaiNgxang6KhengsanuNghang-A	ant	m.liːŋ
13997	DaaiNgxang7HmungtunuNghang-A	ant	m.liːŋ
13998	DaaiYet3BuchaungwaYet-A	ant	m.liːŋ
13999	DaaiYetHettui4MawsungkyiYet-A	ant	m.liːŋ
14000	DaarYinduLontung-A	ant	ᵐliːŋ
14001	DaarYinduMsatui-A	ant	ᵐliŋ
14002	DaaiTuili-A	ant	ᵐliŋ
14003	DaaiMkuiimnu-A	ant	ᵐliŋ
14004	DaaiBantoi-A	ant	ᵐliŋ
14005	DaaiDuk-A	ant	ᵐliŋ
14006	DaaiNghngiloor-A	ant	ᵐliŋ
14007	RawngtuWeilong-A	ant	liŋ.hiər
14008	RawngtuKyawnNam-A	ant	luŋ.hɛr
14009	RawngtuBoishi-A	ant	luŋ.hir
14010	RawngtuRamtim-A	ant	luŋ.hir
14011	MatuPhaneng-A	ant	luŋ.hi
14012	MroKhimiAreong10KyaGaungvillageMrokhami-A	ant	liːŋ.hi
14013	AreongKuwa-A	ant	mə.liŋ.sɔŋ.mɑ
14014	AreongKhuHlaing-A	ant	mə.liŋ
14015	xenaAgYa-A	ant	sɛ.mɛ
14016	XangtauNgaYoukKaing-A	ant	sɛ.mɛ
14017	WakungAwaPyin-A	ant	mə.liŋ
14018	WakungMarlar-A	ant	mə.liŋ
14019	WakungMyaTay-A	ant	mə.liŋ
14020	WakungKwaeChaung-A	ant	mə.liŋ
14021	WakungLwinpuTaung-A	ant	mə.liŋ
14022	MrusaDakKthiHl-A	ant	pu.sʰɑ.kɑŋ
14023	Zotung-A	ant	lɔŋ.kʰi
14024	HakhaHakhaTown-A	ant	ŋɛ.te
14025	Mara-A	ant	lə.ɛ
14026	Zophei-A	ant	luŋ.ʃi
23830	TaungthaWethet-T-1	area under house	im.hɑʔ
23831	TaungthaThanpuya-T-2	area under house	im.kʰrɔ
23832	TaungthaKyarOoYin-T-3	area under house	im.r̥ui
23833	TaungthaYeShin-T-4	area under house	im.hui
23834	MaraNgaphaipi-T-6	area under house	ʔieʔ.rɑu
23835	MaraLailenpi-T-5	area under house	ʔɑi.ri
23836	ThaiphumRengkheng-T-7	area under house	kʰɑŋ.mui
23837	BawmBahungTaung-T-8	area under house	in.tɑŋ
23838	AshoKokanTan-A-1	area under house	iŋ.ɡɔ
23839	AshoPadekyawt-A-2	area under house	iŋ.ɡɔ
23840	AshoPadar-A-3	area under house	iŋ.ɡɔ
23841	AshoSalu-A-4	area under house	iŋ.kɔ
23842	AshoTarye-A-5	area under house	iŋ.ɡɔ
23843	AshoKankawTaung-A-6	area under house	iŋ.ɡwɑ
23844	AshoJatetaw-A-7	area under house	iŋ.ɡɔ
23845	AshoShinsawPyin-A-8	area under house	iŋ.ɡɔ
23846	AshoKhamaungShaeTaing-A-9	area under house	iŋ.ɡɔ
23847	AshoSaryeKwin-A-10	area under house	in.ɡɔ
23848	AshoLinde-A-11	area under house	iŋ.ɡɔ
23849	AshoTayPhyu-A-13	area under house	in.ɡɔ
23850	TaungthaMie-U-1	area under house	iŋ.hui
23851	UppuBuddhagarma-U-2	area under house	tɑu.kɔ
23852	UppuKhaingzi-U-3	area under house	tɑu.kɔ/im.kɔ
23853	UppuChinLetmon-U-4	area under house	tɑu.kɔ
23854	UppuKyinDwe-U-5	area under house	iŋ.kɔ
23855	UppuYan-U-6	area under house	iŋ.kuɑ
23856	UppuNatkyi-U-7	area under house	iŋ.ko
23857	MayinnOwnwa-U-9	area under house	iŋ.vɑi
23858	LonpawKhoimalaung-U-9	area under house	iŋ.kɔi
23859	MinkyaChi-U-10	area under house	iŋ.ɡʷɑt
23860	DoituHetsawlay-U-11	area under house	im.kuɑ
23861	LaituKhuasung-U-12	area under house	im.kuɑ
23862	LaituZaingchaung-U-13	area under house	im.kuɑ
23863	LaituKruChaung-U-14	area under house	im.kɑl
23864	EkaiDaletYwaHaung-D-1	area under house	ɪŋ.kɔ
23865	KhulaiAyeChaungKwanwa-D-5	area under house	ɪŋ.kɔ
23866	DaituNyaungChaungYwa-D-4	area under house	ɪŋ.kɔ
23867	KhamawLakeKone-D-2	area under house	ɪŋ.kɔ
23868	SaingbongAyoTaung-D-3	area under house	ɪŋ.kɔ
23869	SaingbongAnnChaungYonChaung-A	area under house	ɪŋ.kɔ
23870	UppuKhaici-A	area under house	ʔim.kɔ
23871	LaisawThuHtayKung-A	area under house	iŋ.kɔn
23872	LaisawMraukUTown-A	area under house	iŋ.kɔn
23873	HyowKongtuBoroKukyachariinRajasthali-A	area under house	ɔthou̯k
23874	HyowLaituGhungurumukParainBandarban-A	area under house	thuk kʰo
23875	SonglaiHettui8KarchaungHettui-A	area under house	ku.ɗɑŋ.ɗuʔ
23876	SonglaiMaungUmSong1MaungUmSong-A	area under house	kʰu.ɗɑŋ
23877	SonglaiLai2PyinLoneKyiLai-A	area under house	kʰu.ɗɑŋ
23878	SonglaiDoitu9MaungYwaDoitu-A	area under house	ʔim kɔ.ɗɑŋ
23879	LaituKongtuHteinpin-A	area under house	ʔim kʷɑ
23880	LaituSangkai-A	area under house	kʰu.ɗɑŋ
23881	LaituKaikyi-A	area under house	ʔim.kʷɑ
23882	Laitu-A	area under house	ʔin.kə
23883	LaituAhongdong-A	area under house	ʔim/n.kɑl
23884	LaituNyuanNetKhwahsung-A	area under house	ʔin.kɑl
23885	LaituPharpyaw-A	area under house	ʔin.kɑl
23886	LaituPheithapyin-A	area under house	ʔin.kɑl
23887	SumtuDookkan-A	area under house	ʔim.kɒ
23888	NggaKantthayung-A	area under house	k.suŋ.ɗuk
23889	NggaHlaLawngPang-A	area under house	k.suŋ.ɗuk
23890	KaangKruk-A	area under house	kɑi.kʰui
23891	ChangpyangChangPyang-A	area under house	sʰuŋ.kuːŋ
23892	DaaiTuisip-A	area under house	ʔim k.kɑi
23893	DaaiAmsoi-A	area under house	ʔim k.kɑi
23894	DaaiKalim-A	area under house	vɔŋ.kʰui
23895	DaaiKaangKhinphong-A	area under house	kɑi.t̯ɑŋ
23896	DaaiLowerKheng-A	area under house	ʔim kɛ
23897	DaaiMartu-A	area under house	ʔim ka
23898	DaaiRung-A	area under house	ʔim k.kɐi
23899	DaaiLingtuiLungtui-A	area under house	ʔim k.ke
23900	DaaiAwisi-A	area under house	ʔim k.kɑi
23901	DaaiNgxang5HungNghang-A	area under house	k.kɛ k.ɗɑŋ
23902	DaaiNgxang6KhengsanuNghang-A	area under house	ʔim(p) k.kɛ
23903	DaaiNgxang7HmungtunuNghang-A	area under house	ʔim(p) k.kɛ
23904	DaaiYet3BuchaungwaYet-A	area under house	sʰɑk k.kɛ k.ɗɑŋ
23905	DaaiYetHettui4MawsungkyiYet-A	area under house	ʔim(p) k.kɛ
23906	DaarYinduLontung-A	area under house	suk.kɛ
23907	DaarYinduMsatui-A	area under house	suk.kɛu/suŋ.ɗuk (fenced up)
23908	DaaiTuili-A	area under house	k.suŋ k.um
23909	DaaiMkuiimnu-A	area under house	k.sʰɑk.kɛ
23910	DaaiBantoi-A	area under house	ʔim k.kɛ
23911	DaaiDuk-A	area under house	ʔim k.su ʔum
23912	DaaiNghngiloor-A	area under house	k.sʰɑ k.kɛ
23913	RawngtuWeilong-A	area under house	kɑl.tɑŋ
